date,locationID,InAsMeas,InAsVal,year,month,lat,lon,state
1/6/15,OREGONDEQ-12261-ORDEQ,Total,0.707,2015,1,42.9108772,-116.9942311,16
5/19/15,OREGONDEQ-12261-ORDEQ,Total,0.95,2015,5,42.9108772,-116.9942311,16
10/26/15,OREGONDEQ-12261-ORDEQ,Total,2.07,2015,10,42.9108772,-116.9942311,16
9/21/15,OREGONDEQ-12261-ORDEQ,Total,1.5,2015,9,42.9108772,-116.9942311,16
9/23/14,OREGONDEQ-12261-ORDEQ,Total,1.54,2014,9,42.9108772,-116.9942311,16
5/12/15,OREGONDEQ-10759-ORDEQ,Total,3.87,2015,5,42.04000877,-121.6238914,41
1/27/15,OREGONDEQ-10759-ORDEQ,Total,10.2,2015,1,42.04000877,-121.6238914,41
9/1/15,OREGONDEQ-10759-ORDEQ,Total,7.25,2015,9,42.04000877,-121.6238914,41
9/16/14,OREGONDEQ-10759-ORDEQ,Total,5.66,2014,9,42.04000877,-121.6238914,41
8/13/15,OREGONDEQ-11017-ORDEQ,Total,0.688,2015,8,44.75616347,-119.6385027,41
8/14/14,OREGONDEQ-11017-ORDEQ,Total,0.754,2014,8,44.75616347,-119.6385027,41
10/15/15,OREGONDEQ-14008-ORDEQ,Total,2.55,2015,10,45.15816342,-122.151353,41
6/22/15,OREGONDEQ-14008-ORDEQ,Total,1.26,2015,6,45.15816342,-122.151353,41
9/22/15,OREGONDEQ-12264-ORDEQ,Total,1.72,2015,9,42.3375822,-118.2350785,41
10/27/15,OREGONDEQ-12264-ORDEQ,Total,1.63,2015,10,42.3375822,-118.2350785,41
9/23/14,OREGONDEQ-12264-ORDEQ,Total,8.84,2014,9,42.3375822,-118.2350785,41
7/13/15,OREGONDEQ-10443-ORDEQ,Total,0.47,2015,7,43.13391838,-123.3992438,41
2/18/15,OREGONDEQ-10469-ORDEQ,Total,0.632,2015,2,45.41498209,-122.7542948,41
10/22/15,OREGONDEQ-10469-ORDEQ,Total,2.2,2015,10,45.41498209,-122.7542948,41
1/6/15,OREGONDEQ-10730-ORDEQ,Total,4.16,2015,1,42.840768,-117.6239655,41
10/26/15,OREGONDEQ-10730-ORDEQ,Total,5.61,2015,10,42.840768,-117.6239655,41
9/21/15,OREGONDEQ-10730-ORDEQ,Total,8.95,2015,9,42.840768,-117.6239655,41
5/19/15,OREGONDEQ-10730-ORDEQ,Total,4.61,2015,5,42.840768,-117.6239655,41
9/23/14,OREGONDEQ-10730-ORDEQ,Total,10.1,2014,9,42.840768,-117.6239655,41
8/11/15,OREGONDEQ-10724-ORDEQ,Total,2.95,2015,8,44.81851273,-117.4684989,41
4/21/15,OREGONDEQ-10724-ORDEQ,Total,2.35,2015,4,44.81851273,-117.4684989,41
12/9/14,OREGONDEQ-10724-ORDEQ,Total,2.03,2014,12,44.81851273,-117.4684989,41
8/12/14,OREGONDEQ-10724-ORDEQ,Total,3.56,2014,8,44.81851273,-117.4684989,41
8/13/15,OREGONDEQ-11479-ORDEQ,Total,0.602,2015,8,44.46598737,-119.4714567,41
8/14/14,OREGONDEQ-11479-ORDEQ,Total,0.661,2014,8,44.46598737,-119.4714567,41
1/28/15,OREGONDEQ-10602-ORDEQ,Total,1.27,2015,1,42.45527744,-122.8561347,41
5/13/15,OREGONDEQ-10602-ORDEQ,Total,1.43,2015,5,42.45527744,-122.8561347,41
9/17/14,OREGONDEQ-10602-ORDEQ,Total,1.97,2014,9,42.45527744,-122.8561347,41
5/13/15,OREGONDEQ-10765-ORDEQ,Total,4.39,2015,5,42.12761231,-121.9283573,41
1/28/15,OREGONDEQ-10765-ORDEQ,Total,2.24,2015,1,42.12761231,-121.9283573,41
9/2/15,OREGONDEQ-10765-ORDEQ,Total,9.12,2015,9,42.12761231,-121.9283573,41
9/17/14,OREGONDEQ-10765-ORDEQ,Total,5.98,2014,9,42.12761231,-121.9283573,41
5/13/15,OREGONDEQ-10763-ORDEQ,Total,31.9,2015,5,42.07999454,-121.8430807,41
9/1/15,OREGONDEQ-10763-ORDEQ,Total,12.1,2015,9,42.07999454,-121.8430807,41
1/28/15,OREGONDEQ-10763-ORDEQ,Total,12,2015,1,42.07999454,-121.8430807,41
9/17/14,OREGONDEQ-10763-ORDEQ,Total,16.7,2014,9,42.07999454,-121.8430807,41
8/12/15,OREGONDEQ-11494-ORDEQ,Total,5.92,2015,8,44.35672116,-117.2528911,41
12/2/15,OREGONDEQ-11494-ORDEQ,Total,3.04,2015,12,44.35672116,-117.2528911,41
4/22/15,OREGONDEQ-11494-ORDEQ,Total,3.42,2015,4,44.35672116,-117.2528911,41
8/13/14,OREGONDEQ-11494-ORDEQ,Total,5.32,2014,8,44.35672116,-117.2528911,41
12/10/14,OREGONDEQ-11494-ORDEQ,Total,2.74,2014,12,44.35672116,-117.2528911,41
12/2/15,OREGONDEQ-10728-ORDEQ,Total,39.9,2015,12,43.98800692,-117.2306332,41
8/12/15,OREGONDEQ-10728-ORDEQ,Total,33.8,2015,8,43.98800692,-117.2306332,41
4/22/15,OREGONDEQ-10728-ORDEQ,Total,23.6,2015,4,43.98800692,-117.2306332,41
12/10/14,OREGONDEQ-10728-ORDEQ,Total,43.3,2014,12,43.98800692,-117.2306332,41
8/13/14,OREGONDEQ-10728-ORDEQ,Total,49.4,2014,8,43.98800692,-117.2306332,41
5/12/15,OREGONDEQ-10770-ORDEQ,Total,1.38,2015,5,42.51406806,-121.9169827,41
