ActivityStartDate,MonitoringLocationIdentifier,ResultMeasureValue,ResultMeasure/MeasureUnitCode
2015-01-27,OREGONDEQ-10759-ORDEQ,Total,10.2
2015-03-17,OREGONDEQ-10812-ORDEQ,Total,0.344
2015-01-27,OREGONDEQ-10770-ORDEQ,Total,1.08
2015-09-02,OREGONDEQ-10765-ORDEQ,Total,9.12
2015-08-13,OREGONDEQ-31990-ORDEQ,Total,1.12
2015-09-01,OREGONDEQ-10770-ORDEQ,Total,1.76
2015-10-26,OREGONDEQ-10730-ORDEQ,Total,5.61
2015-03-05,OREGONDEQ-37399-ORDEQ,Total,0.326
2015-12-02,OREGONDEQ-11043-ORDEQ,Total,22.3
2015-04-22,OREGONDEQ-11494-ORDEQ,Total,3.42
2015-09-21,OREGONDEQ-10730-ORDEQ,Total,8.95
2015-07-16,OREGONDEQ-37399-ORDEQ,Total,0.49
2015-11-18,OREGONDEQ-10393-ORDEQ,Total,0.402
2015-04-22,OREGONDEQ-10407-ORDEQ,Total,31.3
2015-09-21,OREGONDEQ-12261-ORDEQ,Total,1.5
2015-04-21,OREGONDEQ-10724-ORDEQ,Total,2.35
2015-04-22,OREGONDEQ-11043-ORDEQ,Total,20.3
2015-06-22,OREGONDEQ-14008-ORDEQ,Total,1.26
2015-08-12,OREGONDEQ-10728-ORDEQ,Total,33.8
2015-11-11,OREGONDEQ-10812-ORDEQ,Total,0.398
2015-01-27,OREGONDEQ-10511-ORDEQ,Total,0.955
2015-08-31,OREGONDEQ-10517-ORDEQ,Total,1.34
2015-05-12,OREGONDEQ-10768-ORDEQ,Total,3.87
2015-04-22,OREGONDEQ-11480-ORDEQ,Total,12.6
2015-08-06,OREGONDEQ-10411-ORDEQ,Total,0.946
2015-11-19,OREGONDEQ-37399-ORDEQ,Total,0.583
2015-07-13,OREGONDEQ-11522-ORDEQ,Total,0.53
2015-04-22,OREGONDEQ-10729-ORDEQ,Total,23.4
2015-05-13,OREGONDEQ-11051-ORDEQ,Total,1.09
2015-08-10,OREGONDEQ-11489-ORDEQ,Total,1.12
2015-04-08,OREGONDEQ-10411-ORDEQ,Total,0.93
2015-05-19,OREGONDEQ-10730-ORDEQ,Total,4.61
2015-09-01,OREGONDEQ-10759-ORDEQ,Total,7.25
2015-10-22,OREGONDEQ-10459-ORDEQ,Total,0.824
2015-08-12,OREGONDEQ-10729-ORDEQ,Total,31.3
2015-01-27,OREGONDEQ-10768-ORDEQ,Total,2.13
2015-10-13,OREGONDEQ-11140-ORDEQ,Total,0.483
2015-10-15,OREGONDEQ-13070-ORDEQ,Total,2.05
2015-04-22,OREGONDEQ-10728-ORDEQ,Total,23.6
2015-09-01,OREGONDEQ-10763-ORDEQ,Total,12.1
2015-10-27,OREGONDEQ-12264-ORDEQ,Total,1.63
2015-12-02,OREGONDEQ-11480-ORDEQ,Total,47.6
2015-09-20,OREGONDEQ-33929-ORDEQ,Total,0.586
2015-01-28,OREGONDEQ-10763-ORDEQ,Total,12
2015-08-12,OREGONDEQ-11043-ORDEQ,Total,20.6
2015-07-13,OREGONDEQ-10996-ORDEQ,Total,0.71
2015-10-22,OREGONDEQ-10469-ORDEQ,Total,2.2
2015-05-11,OREGONDEQ-10506-ORDEQ,Total,0.95
2013-08-19,OREGONDEQ-10521-ORDEQ,Total,0.067
2013-08-19,OREGONDEQ-12962-ORDEQ,Total,0.057
2013-11-19,OREGONDEQ-37397-ORDEQ,Total,0.946
2013-11-18,OREGONDEQ-34115-ORDEQ,Total,0.069
2013-10-29,OREGONDEQ-11571-ORDEQ,Total,0.207
2013-10-28,OREGONDEQ-37415-ORDEQ,Total,0.888
2013-08-19,OREGONDEQ-10812-ORDEQ,Total,0.297
2013-11-19,OREGONDEQ-11263-ORDEQ,Total,0.117
2013-09-09,OREGONDEQ-11263-ORDEQ,Total,0.154
2013-11-18,OREGONDEQ-10990-ORDEQ,Total,0.12
2013-08-19,OREGONDEQ-13431-ORDEQ,Total,0.207
2013-11-18,OREGONDEQ-36803-ORDEQ,Total,0.183
2013-12-02,OREGONDEQ-32980-ORDEQ,Total,0.264
2013-12-02,OREGONDEQ-13308-ORDEQ,Total,0.226
2013-10-28,OREGONDEQ-13569-ORDEQ,Total,0.06
2013-10-28,OREGONDEQ-10414-ORDEQ,Total,0.25
2013-12-03,OREGONDEQ-11005-ORDEQ,Total,<0.040
2013-10-28,OREGONDEQ-28303-ORDEQ,Total,0.105
2013-08-06,OREGONDEQ-37415-ORDEQ,Total,1.07
2013-09-09,OREGONDEQ-10990-ORDEQ,Total,0.217
2013-08-06,OREGONDEQ-37415-ORDEQ,Total,1.08
2013-09-09,OREGONDEQ-29900-ORDEQ,Total,<0.040
2013-08-05,OREGONDEQ-30670-ORDEQ,Total,0.2
2013-08-19,OREGONDEQ-12187-ORDEQ,Total,0.139
2013-09-09,OREGONDEQ-20434-ORDEQ,Total,0.116
2013-09-10,OREGONDEQ-37399-ORDEQ,Total,0.462
2013-10-29,OREGONDEQ-25754-ORDEQ,Total,0.235
2013-08-06,OREGONDEQ-13400-ORDEQ,Total,1.25
2013-08-19,OREGONDEQ-24299-ORDEQ,Total,0.394
2013-09-10,OREGONDEQ-34115-ORDEQ,Total,0.081
2013-12-02,OREGONDEQ-10812-ORDEQ,Total,0.499
2013-08-06,OREGONDEQ-37405-ORDEQ,Total,0.469
2013-08-05,OREGONDEQ-36750-ORDEQ,Total,0.127
2013-12-03,OREGONDEQ-13311-ORDEQ,Total,1.28
2013-08-20,OREGONDEQ-32980-ORDEQ,Total,0.277
2013-09-10,OREGONDEQ-37398-ORDEQ,Total,0.568
2013-11-19,OREGONDEQ-29900-ORDEQ,Total,0.054
2013-08-19,OREGONDEQ-10521-ORDEQ,Total,0.08
2013-08-19,OREGONDEQ-13311-ORDEQ,Total,1.25
2013-12-02,OREGONDEQ-11229-ORDEQ,Total,<0.040
2013-09-09,OREGONDEQ-37397-ORDEQ,Total,1.27
2013-12-03,OREGONDEQ-22394-ORDEQ,Total,0.07
2013-09-09,OREGONDEQ-33642-ORDEQ,Total,0.137
2013-08-19,OREGONDEQ-13440-ORDEQ,Total,0.089
2013-08-20,OREGONDEQ-11849-ORDEQ,Total,<0.040
2013-09-10,OREGONDEQ-37396-ORDEQ,Total,0.042
2013-08-06,OREGONDEQ-13587-ORDEQ,Total,1.05
2013-08-06,OREGONDEQ-12607-ORDEQ,Total,0.881
2013-10-28,OREGONDEQ-13400-ORDEQ,Total,1.06
2013-09-09,OREGONDEQ-37400-ORDEQ,Total,0.316
2013-10-29,OREGONDEQ-13680-ORDEQ,Total,1.35
2013-08-06,OREGONDEQ-28803-ORDEQ,Total,0.264
2013-09-09,OREGONDEQ-36803-ORDEQ,Total,0.475
2013-09-10,OREGONDEQ-37396-ORDEQ,Total,0.042
2013-09-10,OREGONDEQ-10391-ORDEQ,Total,0.096
2013-12-02,OREGONDEQ-24299-ORDEQ,Total,0.481
2013-11-18,OREGONDEQ-13336-ORDEQ,Total,0.55
2013-12-03,OREGONDEQ-13440-ORDEQ,Total,0.052
2013-08-19,OREGONDEQ-34165-ORDEQ,Total,0.487
2013-12-03,OREGONDEQ-12962-ORDEQ,Total,0.064
2013-09-09,OREGONDEQ-36432-ORDEQ,Total,0.112
2013-10-28,OREGONDEQ-13400-ORDEQ,Total,1.02
2013-12-02,OREGONDEQ-11229-ORDEQ,Total,<0.040
2013-12-02,OREGONDEQ-18802-ORDEQ,Total,0.09
2013-09-10,OREGONDEQ-13336-ORDEQ,Total,0.437
2013-08-05,OREGONDEQ-13574-ORDEQ,Total,0.312
2013-11-19,OREGONDEQ-37399-ORDEQ,Total,0.475
2013-11-19,OREGONDEQ-37397-ORDEQ,Total,0.892
2013-08-06,OREGONDEQ-33476-ORDEQ,Total,0.596
2013-08-19,OREGONDEQ-13654-ORDEQ,Total,0.997
2013-08-05,OREGONDEQ-13405-ORDEQ,Total,0.565
2013-08-05,OREGONDEQ-11571-ORDEQ,Total,0.381
2013-11-19,OREGONDEQ-34425-ORDEQ,Total,0.088
2013-12-02,OREGONDEQ-13553-ORDEQ,Total,0.688
2013-10-29,OREGONDEQ-28803-ORDEQ,Total,0.23
2013-12-02,OREGONDEQ-11849-ORDEQ,Total,0.044
2013-08-20,OREGONDEQ-13308-ORDEQ,Total,0.909
2013-12-02,OREGONDEQ-34165-ORDEQ,Total,0.154
2013-11-18,OREGONDEQ-20434-ORDEQ,Total,0.07
2013-09-10,OREGONDEQ-35486-ORDEQ,Total,0.06
2013-08-20,OREGONDEQ-32980-ORDEQ,Total,0.282
2013-11-19,OREGONDEQ-36432-ORDEQ,Total,0.109
2013-09-10,OREGONDEQ-10582-ORDEQ,Total,0.295
2013-10-29,OREGONDEQ-12607-ORDEQ,Total,0.343
2013-08-05,OREGONDEQ-25754-ORDEQ,Total,0.369
2013-12-02,OREGONDEQ-13654-ORDEQ,Total,0.168
